gene_symbol,type,soc,auroc,wt_pvalue,ttest_statistic,ttest_pvalue
CYP3A5,enzyme,Reproductive system and breast disorders,0.471313131313131,0.743840656713858,-6.58443946946859,0.999999999976485
CYP2C8,enzyme,Gastrointestinal disorders,0.544471153846154,0.339416107248738,1.69068591691136,0.0456196054297088
CYP2C18,enzyme,Vascular disorders,0.445723684210526,0.699905108254899,-0.281663849027963,0.610865535607778
CYP2C8,enzyme,Vascular disorders,0.493923611111111,0.533000863197059,-3.63772282114289,0.999859103673932
CYP2C18,enzyme,Cardiac disorders,0.3859375,0.782588164665525,-8.07726239529743,0.999999999999997
CYP2B6,enzyme,Metabolism and nutrition disorders,0.517406204906205,0.389878352590038,0.0692280936685726,0.472406296925588
CYP3A5,enzyme,Metabolism and nutrition disorders,0.518201420598681,0.362766906803497,5.73094967350426,5.26075405234484e-09
CYP2B6,enzyme,Musculoskeletal and connective tissue disorders,0.433063271604938,0.783577997175834,-8.35908826817765,1
CYP3A5,enzyme,Musculoskeletal and connective tissue disorders,0.461294934640523,0.733729914725887,-0.773371931307802,0.780317146561264
CYP2C19,enzyme,Musculoskeletal and connective tissue disorders,0.54375,0.297588980122053,1.75667494498044,0.0395456659653979
CYP2C9,enzyme,Musculoskeletal and connective tissue disorders,0.464588439542484,0.789428848755137,-10.6470642019537,1
CYP2C8,enzyme,Musculoskeletal and connective tissue disorders,0.480928689883914,0.604826066173913,-1.91826322850926,0.972400116112976
CYP2C18,enzyme,Musculoskeletal and connective tissue disorders,0.303209459459459,0.911752723837384,-15.3922412591338,1
CYP2B6,enzyme,Nervous system disorders,0.556108652900688,0.178813841881933,11.1333361787097,1.7560795042795e-28
CYP2C8,enzyme,Nervous system disorders,0.492809734513274,0.539088840851475,0.0775205330689373,0.469109075568666
CYP2C18,enzyme,Nervous system disorders,0.265756302521008,0.946973909159894,-9.51938222867218,1
CYP2B6,enzyme,Renal and urinary disorders,0.603174603174603,0.0576593317489614,14.6843012051865,7.60538140352773e-48
CYP2C8,enzyme,General disorders and administration site conditions,0.5315,0.323872627496274,3.62606987444661,0.000146849391073582
CYP2C8,enzyme,Skin and subcutaneous tissue disorders,0.51220703125,0.436245036833329,1.27946224407198,0.100448727866052
CYP3A7,enzyme,Endocrine disorders,0.441554054054054,0.790060142157503,-7.32228451171908,0.999999999999843
CYP3A7-CYP3A51P,enzyme,Endocrine disorders,0.412462462462463,0.929827985527643,-10.3964503462973,1
CYP2D6,enzyme,Metabolism and nutrition disorders,0.561777777777778,0.135294587564716,9.42804742581053,3.52246762995185e-21
CYP3A7,enzyme,Metabolism and nutrition disorders,0.445819805194805,0.763251540186305,-6.06554687910913,0.999999999213682
CYP3A7-CYP3A51P,enzyme,Metabolism and nutrition disorders,0.480248917748918,0.625636198155895,-0.00606016276090266,0.502417426370026
CYP3A7,enzyme,General disorders and administration site conditions,0.523538961038961,0.378751547410839,4.51068008283314,3.41641212591559e-06
CYP3A7-CYP3A51P,enzyme,General disorders and administration site conditions,0.513798701298701,0.412149893826312,2.93768045229557,0.00166656024106536
