gene_symbol,probe
TRPM6,240389_at
SLC32A1,240532_at
CACNA1E,240650_at
SEC14L3,240699_at
CYP19A1,240705_at
ABCB5,240717_at
CYP19A1,240863_at
NOS1,240911_at
GLS,241034_at
ASNS,241082_at
HSD3B1,241111_at
SEC14L3,241221_at
SLC8A1,241752_at
SLC6A4,241811_x_at
SLC16A7,241866_at
SLC16A7,241925_x_at
SLCO1C1,241951_at
XDH,241994_at
DGUOK,241995_at
SLC6A4,242009_at
NDUFS7,242168_at
CACNA1E,242410_s_at
SLC2A5,242525_at
ABCC3,242553_at
SLC22A3,242578_x_at
POU2F2,242866_x_at
CACNA1C,242973_at
RDH12,242998_at
CYP3A5,243015_at
ABCB5,243167_at
MARS2,243529_at
LNPEP,243532_at
ADH1B,243544_at
CYP3A7,243609_at
CYP3A7-CYP3A51P,243609_at
ABCC4,243928_s_at
ABCB1,243951_at
POU2F1,244006_at
CACNA1E,244256_at
AKR1C2,244266_at
SLC2A12,244353_s_at
ATP1A1,244606_at
SLC8A1,244620_at
SCARB1,1552256_a_at
SLC46A1,1552278_a_at
SLC46A1,1552279_a_at
CATSPER1,1552335_at
CYP11B1,1552493_s_at
SLC34A3,1552510_at
PDE5A,1553175_s_at
SLC36A1,1553272_at
SLC29A2,1553540_a_at
NT5E,1553994_at
NT5E,1553995_a_at
SLC4A4,1554027_a_at
ARSB,1554030_at
ARSB,1554032_at
ENTPD5,1554094_at
SLC4A8,1554113_a_at
CYP19A1,1554296_at
HNMT,1554303_at
TK1,1554408_a_at
CNNM2,1554522_at
CNNM2,1554523_a_at
DPYD,1554534_at
DPYD,1554536_at
SLC23A2,1554692_at
TYMS,1554696_s_at
CYP4A11,1554837_a_at
CYP4A22,1554837_a_at
SLC12A1,1554842_at
ABCC11,1554911_at
ABCC4,1554918_a_at
CYP4A11,1554931_at
CYP4A22,1554931_at
PTGS2,1554997_a_at
ABCC4,1555039_a_at
TRPV5,1555042_at
SLC44A4,1555203_s_at
SLC4A5,1555277_a_at
ABCB5,1555371_at
SLC22A7,1555553_a_at
AKR1C1,1555854_at
AKR1C2,1555854_at
AKR1C1,1555855_at
AKR1C1,1555856_s_at
SLC19A1,1555952_at
SLC19A1,1555953_at
COMT,1556149_at
ARVCF,1556149_at
FXYD2,1556294_at
SLC8A1,1556583_a_at
PDE5A,1556786_at
PDE5A,1556787_s_at
PLD1,1557126_a_at
NT5C,1557303_at
SLC16A1,1557918_s_at
ALPL,1557924_s_at
PGK1,1558365_at
ABCC5,1558460_at
RPE,1558519_at
SLC2A11,1558540_s_at
ALDH1A3,1558649_at
SLC46A1,1558703_at
CACNA1A,1558944_at
CACNA1A,1558945_s_at
CEPT1,1558957_s_at
RDH13,1559190_s_at
TRPV6,1559405_a_at
CHDH,1559590_at
CHDH,1559591_s_at
SLC29A2,1560062_at
SLC29A2,1560149_at
SLC29A2,1560151_x_at
CYP19A1,1560295_at
NOS1,1560974_s_at
MAOB,1561009_at
MAOB,1561010_a_at
TXNRD1,1561080_at
SLC8A1,1561614_at
SLC8A1,1561615_s_at
CEPT1,1561884_at
PDE5A,1562227_at
PDE5A,1562228_s_at
CYP17A1,1562573_at
AMN,1563792_at
CRABP1,1563897_at
CAD,1564084_at
GLS2,1564705_at
GLS2,1564706_s_at
GLS2,1564707_x_at
SLC8A1,1564985_a_at
ALB,1565228_s_at
SLC8A1,1565306_a_at
HPRT1,1565446_at
NADSYN1,1565906_at
NADSYN1,1565908_at
RETSAT,1566472_s_at
PDXK,1566670_at
PDXK,1566671_a_at
SERPINE1,1568765_at
ABCB5,1569072_s_at
SLC34A3,1569926_s_at
SLC29A4,1570124_at
ABCA1,1570279_at
ABCB4,1570505_at
CMPK1,1570533_at
KYAT1,1570650_at
KYAT1,1570651_at
