drugA,drugB,meddra,N,type
21602085,21601390,35104877,40,negativo
21602735,21603905,35205025,47,negativo
21602338,21601390,37019318,12,negativo
21601390,21604422,37522220,17,negativo
21600493,21602921,35104877,18,negativo
21600493,21604348,35506628,15,negativo
21601435,21603929,36312648,18,negativo
21601390,21601431,35104883,19,negativo
21604393,21604433,37420527,10,negativo
21601431,21603896,35809327,40,negativo
21603080,21603925,35809310,13,negativo
21600863,21603448,36110642,12,negativo
21602096,21604857,35104883,19,negativo
21603718,21603929,35707920,10,negativo
21604393,21604415,35809327,39,negativo
21600395,21601518,42890557,12,negativo
21601518,21602648,37219925,17,negativo
21600493,21604571,36416595,45,negativo
21601435,21603804,36312648,10,negativo
21600234,21601534,37522220,10,negativo
21601423,21603929,35607031,24,negativo
21604348,21603448,36009756,10,negativo
21602338,21603925,36416609,31,negativo
21604417,21604544,35809076,11,negativo
21601518,21602338,37622449,10,negativo
21601423,21604344,36516959,13,negativo
21604260,21604344,36416600,10,negativo
21603896,21603925,36718119,14,negativo
21604431,21604440,35708202,12,negativo
21602732,21603980,35708202,11,negativo
21602730,21601423,36718500,42,negativo
21602734,21603925,35909508,20,negativo
21600083,21603448,36009756,12,negativo
21603911,21603959,35809327,19,negativo
21602102,21602737,35708151,19,negativo
21601390,21603925,35909508,12,negativo
21604559,21604571,35708208,11,negativo
21600732,21604562,42889636,11,negativo
21602256,21603911,35708155,26,negativo
21602338,21603925,42889498,80,negativo
21602735,21603929,36009738,10,negativo
21601423,21603929,35104165,64,negativo
21602737,21603732,35809072,10,negativo
21602256,21601423,35205025,62,negativo
21603749,21604305,35607096,11,negativo
21604422,21604757,35708208,11,negativo
21603356,21603362,37320143,12,negativo
21602730,21603732,35708038,11,negativo
21602734,21603896,36516886,13,negativo
21603851,21604229,35104341,13,negativo
21603800,21603929,36313534,21,negativo
21601423,21601435,36110540,32,negativo
21603392,21603613,42889536,14,negativo
21602730,21601423,36416501,28,negativo
21603756,21603908,35809327,48,negativo
21600493,21601439,35104691,10,negativo
21601423,21601428,36110591,10,negativo
21601390,21601428,35708038,21,negativo
21602921,21604857,35104236,13,negativo
21603917,21604272,43053854,20,negativo
21603900,21604418,35809054,10,negativo
21602338,21603896,35104243,12,negativo
21602732,21603897,35708093,12,negativo
21603908,21603921,36516802,19,negativo
21600994,21602653,37522220,24,negativo
21603909,21603927,35808914,82,negativo
21601518,21604344,36416600,10,negativo
21603756,21603896,37019292,24,negativo
21603911,21603929,43053882,75,negativo
45893474,21602653,35708202,12,negativo
21602735,21603356,37219810,11,negativo
21602338,21603925,35708093,185,negativo
21601129,21602256,36516951,14,negativo
21601390,21601431,36718132,25,negativo
21603781,21603900,35809054,18,negativo
21602735,21601423,36516749,12,negativo
21604559,21604562,45885570,29,negativo
21601432,21601435,36416595,10,negativo
21601003,21600448,35205268,11,negativo
21604399,21604402,35204948,12,negativo
21602730,21603804,35909511,10,negativo
21601435,21603718,35708093,42,negativo
21604544,21604562,36918942,29,negativo
21601129,21603641,35406429,14,negativo
21603080,21603718,35809054,37,negativo
21604344,21604348,35708564,11,negativo
21603908,21603909,35708208,48,negativo
21602924,21603087,36313176,12,negativo
21604422,21603497,36110597,11,negativo
21601390,21603748,35104113,34,negativo
21603967,21603980,35606964,17,negativo
21602730,21601423,35909501,12,negativo
21601399,21601423,36211650,15,negativo
21602338,21603925,36110201,46,negativo
21603911,21603927,35809243,14,negativo
21604543,21604544,36919033,13,negativo
21604348,21603448,36211496,14,negativo
21603905,21603968,36009833,14,negativo
21602256,21603927,35708242,16,negativo
21600493,21602256,35708208,28,negativo
