drugbank_id,id,type,action,uniprot_id,entrez_id,gene_symbol,atc_concept_id
DB00118,BE0000407,target,cofactor,Q00266,4143,MAT1A,21600936
DB00118,BE0002089,target,cofactor,P21964,1312,COMT,21600936
DB00121,BE0001111,enzyme,inducer,Q16678,1545,CYP1B1,21600846
DB00121,BE0000544,target,cofactor,P05166,5096,PCCB,21600846
DB00121,BE0000159,target,substrate,P50747,3141,HLCS,21600846
DB00121,BE0000072,target,cofactor,Q9HCC0,64087,MCCC2,21600846
DB00121,BE0000702,target,cofactor,O00763,32,ACACB,21600846
DB00121,BE0000445,target,cofactor,Q96RQ3,56922,MCCC1,21600846
DB00121,BE0000698,target,cofactor,P11498,5091,PC,21600846
DB00121,BE0000492,target,cofactor,P05165,5095,PCCA,21600846
DB00121,BE0000626,target,cofactor,Q13085,31,ACACA,21600846
DB00123,BE0003654,transporter,substrate,Q8TF71,117247,SLC16A10,21601218
DB00123,BE0000757,transporter,inhibitor,Q9H015,6583,SLC22A4,21601218
DB00125,BE0000106,transporter,inhibitor,O76082,6584,SLC22A5,21601216
DB00125,BE0003654,transporter,inhibitor,Q8TF71,117247,SLC16A10,21601216
DB00125,BE0000757,transporter,inhibitor,Q9H015,6583,SLC22A4,21601216
DB00126,BE0000168,transporter,substrate,Q9UHI7,9963,SLC23A1,21600837
DB00126,BE0009869,transporter,substrate,Q9UGH3,9962,SLC23A2,21600837
DB00126,BE0001057,transporter,substrate,P11166,6513,SLC2A1,21600837
DB00126,BE0004707,transporter,substrate,P11169,6515,SLC2A3,21600837
DB00126,BE0000893,transporter,substrate,P14672,6517,SLC2A4,21600837
DB00130,BE0009870,transporter,substrate,Q9H2H9,81539,SLC38A1,21600937
DB00130,BE0009871,transporter,substrate,Q96QD8,54407,SLC38A2,21600937
DB00130,BE0000285,transporter,substrate,Q99624,10991,SLC38A3,21600937
DB00130,BE0000236,transporter,substrate,Q15758,6510,SLC1A5,21600937
DB00130,BE0000423,transporter,substrate,Q9UN76,11254,SLC6A14,21600937
DB00130,BE0004769,transporter,substrate,Q9UM01,9056,SLC7A7,21600937
DB00130,BE0009872,transporter,substrate,Q92536,9057,SLC7A6,21600937
DB00130,BE0000222,transporter,substrate,Q01650,8140,SLC7A5,21600937
DB00130,BE0000789,transporter,substrate,Q9UHI5,23428,SLC7A8,21600937
DB00130,BE0002251,transporter,substrate,P82251,11136,SLC7A9,21600937
DB00130,BE0003654,transporter,inhibitor,Q8TF71,117247,SLC16A10,21600937
DB00130,BE0000004,enzyme,substrate,P00488,2162,F13A1,21600937
DB00130,BE0000825,enzyme,substrate,O94925,2744,GLS,21600937
DB00130,BE0000003,enzyme,substrate,Q9UI32,27165,GLS2,21600937
DB00130,BE0001035,enzyme,substrate,P21980,7052,TGM2,21600937
DB00130,BE0002236,enzyme,substrate,O43548,9333,TGM5,21600937
DB00130,BE0002239,enzyme,substrate,O95932,343641,TGM6,21600937
DB00130,BE0002241,enzyme,substrate,P22735,7051,TGM1,21600937
DB00130,BE0002243,enzyme,substrate,P49221,7047,TGM4,21600937
DB00130,BE0001273,enzyme,substrate,Q08188,7053,TGM3,21600937
DB00130,BE0002245,enzyme,substrate,Q96PF1,116179,TGM7,21600937
DB00130,BE0000321,enzyme,substrate,P49915,8833,GMPS,21600937
DB00130,BE0000219,enzyme,substrate,P08243,440,ASNS,21600937
DB00130,BE0000273,enzyme,substrate,Q16773,883,KYAT1,21600937
DB00130,BE0002235,enzyme,substrate,O15067,5198,PFAS,21600937
DB00130,BE0002237,enzyme,substrate,O75879,5188,GATB,21600937
DB00130,BE0002238,enzyme,substrate,O94808,9945,GFPT2,21600937
DB00130,BE0002227,enzyme,substrate,P27708,790,CAD,21600937
