stage,log_lower90,log_ior,permutation
4,-0.00628940184480037,-1.41574333953898e-05,1
5,-0.00807782311651476,-1.63179248939827e-05,1
6,-0.00998784402386968,-1.77673912231668e-05,1
7,-0.0120165562901001,-1.85493104849499e-05,1
1,-0.00282768024328633,3.6507587806156e-06,1
2,-0.0026995137452231,8.84786982391361e-06,1
3,-0.00350011743234892,1.40279681564159e-05,1
4,-0.00471231478593031,1.91729875536062e-05,1
5,-0.00606556956642935,2.414385346583e-05,1
6,-0.00747628336482667,2.86265507409844e-05,1
7,-0.00893485272275998,3.24825935713591e-05,1
1,-0.0050920524606111,1.44897261122878e-06,1
2,-0.00772456134216374,-1.66096203777499e-05,1
3,-0.0142529909489599,-3.47048057172117e-05,1
4,-0.0213353189720746,-5.28587924728541e-05,1
5,-0.0285569518312398,-7.10502426581883e-05,1
6,-0.0358143595692816,-8.91706188879127e-05,1
7,-0.0430384149157139,-0.000107042762445886,1
1,-0.0056581342703674,2.3791023920694e-05,1
2,-0.00815577170396193,5.54532458050261e-05,1
3,-0.0120487539742565,8.64611771254076e-05,1
4,-0.0162648592378758,0.000116934880031394,1
5,-0.0206501547982935,0.000147746070572552,1
6,-0.0251498910321753,0.000178893699945171,1
7,-0.029737751239047,0.000210167536207173,1
1,-1.03824319737787,0.0114453013926745,1
2,-1.08728448625915,-0.197766139374425,1
3,-1.3873529534954,-0.408054427595443,1
4,-1.84823929139551,-0.620560402137564,1
5,-2.38388495195137,-0.836001737052474,1
6,-2.96788707306865,-1.05497065736433,1
7,-3.60119031263587,-1.27801751003182,1
1,-0.164215330623703,0.00753145758934171,1
2,-0.173055453332794,-0.028145776263143,1
3,-0.223453839467828,-0.0634897339921325,1
4,-0.299313386327663,-0.0982196126701727,1
5,-0.384913490900945,-0.131806766316769,1
6,-0.473623291434161,-0.162883643692949,1
7,-0.565664945317661,-0.191240339213154,1
1,-0.00526754496318921,-9.17880988016151e-06,1
2,-0.00451912460406489,-8.73267855361348e-07,1
3,-0.00565930718207667,7.66374817562365e-06,1
4,-0.00779102923696073,1.66777126118234e-05,1
5,-0.0103090755711538,2.63479139466227e-05,1
6,-0.0130428385868251,3.65554869832252e-05,1
7,-0.0159500505898101,4.69627104502379e-05,1
1,-0.0410227207883921,-0.000246186103889379,1
2,-0.0353558029566819,0.000723914857981178,1
3,-0.0427101144522731,0.00170099337889429,1
4,-0.0567662079887094,0.00269384502228842,1
5,-0.0733569470329793,0.0037105719171695,1
6,-0.0913474378479394,0.004754767831054,1
7,-0.110641184271801,0.00581993749720944,1
1,-2.51873800656377,0.271390405088958,1
2,-1.81482438653695,0.576920533732198,1
3,-2.07764510303171,0.828561142632543,1
4,-2.82374923669876,1.05558621304507,1
5,-3.83611580418188,1.18798796617705,1
6,-5.47335378745542,0.786420019514202,1
7,-7.32095974209105,0.265503219584376,1
1,-2.82261053041449,-0.265250538002901,1
2,-3.01105853286575,-0.87868963248529,1
3,-3.82528746879308,-1.4850925826715,1
4,-5.03967808087585,-2.07643249746246,1
5,-6.4342695517735,-2.6481390647378,1
6,-7.94235642430352,-3.20467073567896,1
7,-9.55970980985278,-3.75456672149225,1
1,-0.00120542895633827,1.28131098708906e-06,1
2,-0.00141442265161967,3.17606401445403e-06,1
3,-0.00200554370475977,5.03543810737028e-06,1
4,-0.00270503362382651,6.81981979155921e-06,1
5,-0.00342228007285038,8.49640216316061e-06,1
6,-0.00413594842891443,1.00477527995579e-05,1
