triplet_id,type,max_ior,mean_ior,n_stages_significant
1669,negative,0.999971828307542,0.999970827097188,0
1670,negative,0.316437734114897,0.163892464017107,0
1671,negative,0.31078690446679,0.13398366330761,0
1672,negative,0.131227492459458,0.119130529586266,0
1673,negative,1.6114188108312,1.28652817769353,0
1674,negative,1.00000278395264,0.999977534142434,0
1675,negative,1.09187852305069,1.0438017574091,0
1676,negative,2.10850214167337,1.4205378327093,3
1677,negative,0.996819929195999,0.952717702011129,0
1678,negative,1.00147886465355,1.00081703479301,0
1679,negative,0.999999893137094,0.999996646135419,0
1680,negative,1.0435261937305,0.881226322445578,0
1681,negative,1.00001051803615,1.00000433261964,0
1682,negative,8.41861480279131,3.62780177597433,3
1683,negative,0.999994273190969,0.999985963772673,0
1684,negative,0.295354521026413,0.0942553635292894,0
1685,negative,0.347400807302726,0.198539430059322,0
